plot_ID,mean_5yr,sd_5yr,sum_5yr,n_obs_5yr,mean_10yr,sd_10yr,sum_10yr,n_obs_10yr
2001,NA,NA,0,0,NA,NA,0,0
2002,NA,NA,0,0,NA,NA,0,0
2003,NA,NA,0,0,NA,NA,0,0
2004,NA,NA,0,0,NA,NA,0,0
2005,NA,NA,0,0,NA,NA,0,0
2006,NA,NA,0,0,NA,NA,0,0
2007,NA,NA,0,0,NA,NA,0,0
2008,NA,NA,0,0,NA,NA,0,0
2009,NA,NA,0,0,NA,NA,0,0
2010,NA,NA,0,0,NA,NA,0,0
2011,NA,NA,0,0,NA,NA,0,0
2012,NA,NA,0,0,NA,NA,0,0
2013,NA,NA,0,0,NA,NA,0,0
2014,NA,NA,0,0,NA,NA,0,0
2015,NA,NA,0,0,NA,NA,0,0
2016,NA,NA,0,0,NA,NA,0,0
2017,NA,NA,0,0,NA,NA,0,0
2018,NA,NA,0,0,NA,NA,0,0
2019,NA,NA,0,0,NA,NA,0,0
2020,NA,NA,0,0,NA,NA,0,0
2021,NA,NA,0,0,NA,NA,0,0
2022,NA,NA,0,0,NA,NA,0,0
2023,NA,NA,0,0,NA,NA,0,0
2024,NA,NA,0,0,NA,NA,0,0
2025,NA,NA,0,0,NA,NA,0,0
2026,NA,NA,0,0,NA,NA,0,0
2027,NA,NA,0,0,NA,NA,0,0
2028,NA,NA,0,0,NA,NA,0,0
2029,NA,NA,0,0,NA,NA,0,0
2030,NA,NA,0,0,NA,NA,0,0
2031,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2032,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2033,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2034,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2035,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2036,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2037,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2038,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2039,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2040,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2041,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2042,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2043,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2044,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2045,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2046,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2047,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2048,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
2049,1422.173511,143.7264948,7110.867554,5,1549.783041,170.7717408,15497.83041,10
