plot_ID,arcticdem_elev,chelsa_glacial_extent,worldclim_bio_1,worldclim_bio_2,worldclim_bio_3,worldclim_bio_4,worldclim_bio_5,worldclim_bio_6,worldclim_bio_7,worldclim_bio_8,worldclim_bio_9,worldclim_bio_10,worldclim_bio_11,worldclim_bio_12,worldclim_bio_13,worldclim_bio_14,worldclim_bio_15,worldclim_bio_16,worldclim_bio_17,worldclim_bio_18,worldclim_bio_19,nasa_slope,nasa_aspect,nasa_tri,nasa_elev,soilgrids_bdod,soilgrids_cfvo,soilgrids_nitrogen,soilgrids_ocd,soilgrids_phh2o,soilgrids_silt,soilgrids_soc,soilgrids_cec,soilgrids_clay,chr_glim_lith,chr_gum_sed_type,chr_gum_grain_size,chr_gum_mineralogy,chr_gum_age,chr_gum_thickness
90198,157.390625,3000,3.470833302,5.258333683,30.39499092,460.9006042,13.10000038,-4.199999809,17.29999924,-1.299999952,8.216667175,9.566666603,-1.416666627,1043,106,60,19.47563744,309,192,215,306,NA,NA,NA,NA,0.800000012,8,7.699999809,5.800000191,5.699999809,34,191.6999969,28.1,8.9,vb,NA,NA,NA,NA,NA
90199,213.734375,1600,3.445833206,5.324999809,31.14035225,455.4291687,12.89999962,-4.199999809,17.09999847,-1.266666651,5.316666603,9.483333588,-1.383333325,966,95,62,15.80438042,271,188,222,268,NA,NA,NA,NA,0.800000012,7,7.300000191,5.800000191,5.599999905,33,189.6999969,32,11,vb,NA,NA,NA,NA,NA
90202,166.203125,3000,3.474999905,5.25,30.17241478,463.0604858,13.19999981,-4.199999809,17.39999962,-1.366666675,8.25,9.583333015,-1.449999928,1047,107,61,19.34584236,311,194,217,307,NA,NA,NA,NA,0.800000012,10,8.300000191,5.699999809,5.699999809,32,189.6000061,26.1,7.3,vb,NA,NA,NA,NA,NA
90203,151.953125,1600,3.950000048,5.166666508,30.03875923,455.7062378,13.30000019,-3.900000095,17.20000076,-1.066666722,5.916666508,9.916666985,-1.066666722,1066,102,69,14.55919933,297,212,246,297,NA,NA,NA,NA,0.699999988,5,7.800000191,5.699999809,6,31,229.1999969,30.5,10.7,vb,NA,NA,NA,NA,NA
90206,120.3984375,1600,4.129166603,5.025000095,30.82822227,433.1882629,12.89999962,-3.400000095,16.29999924,-0.316666692,5.933333397,9.783332825,-0.600000024,1018,98,65,15.11572838,282,200,234,281,NA,NA,NA,NA,0.800000012,5,8.100000381,5.5,5.5,29,198,28.7,11,vb,NA,NA,NA,NA,NA
90209,381.9453125,1800,2.604166746,5.025000095,29.04624176,466.3711853,12.39999962,-4.900000095,17.29999924,-2.200000048,4.366666794,8.866666794,-2.216666698,1149,110,73,14.86181259,322,229,260,319,NA,NA,NA,NA,0.699999988,11,6.300000191,6.099999905,6.300000191,26,163.5,27.3,8.3,vb,NA,NA,NA,NA,NA
90210,134.9375,1500,4.004166603,5.041666508,30.74186897,438.9784546,12.80000019,-3.599999905,16.39999962,-0.533333302,5.816666603,9.733333588,-0.800000012,998,96,65,14.85544491,278,198,229,277,NA,NA,NA,NA,0.800000012,6,7.800000191,5.699999809,5.599999905,31,212.1999969,30.1,14.5,vb,NA,NA,NA,NA,NA
90214,150.3046875,1100,3.724999905,5.050000191,29.53216362,459.250885,13.10000038,-4,17.10000038,-1.066666722,5.533333302,9.766666412,-1.233333349,1025,99,66,14.4823246,284,206,234,282,NA,NA,NA,NA,0.699999988,9,7.800000191,6,5.5,31,203.3000031,32,10.1,vb,NA,NA,NA,NA,NA
90200,146.3515625,3100,4.099999905,4.866666794,30.22774315,428.3053284,12.80000019,-3.299999952,16.10000038,1.550000072,5.866666794,9.699999809,-0.583333313,1182,113,78,14.24224472,326,237,272,324,NA,NA,NA,NA,0.800000012,7,7,5.800000191,5.900000095,27,235.5,30.2,7.6,vb,NA,NA,NA,NA,NA
90201,92.8125,8200,4.550000191,5.366666794,29.98137665,466.846283,14.60000038,-3.299999952,17.89999962,-0.233333349,9.433333397,10.76666641,-0.516666651,1367,142,78,18.66899872,396,254,268,380,NA,NA,NA,NA,0.800000012,9,6.699999809,5.900000095,6.099999905,27,216.6000061,30.8,7.7,NA,NA,NA,NA,NA,NA
90204,308.78125,1800,3.325000048,5.183333397,30.13565826,455.9380798,12.89999962,-4.300000191,17.20000076,-1.366666675,5.166666508,9.366666794,-1.533333302,1193,116,76,16.14416695,340,232,267,338,NA,NA,NA,NA,0.699999988,7,4.699999809,6,6.5,25,202,27.2,5.3,vb,NA,NA,NA,NA,NA
90205,112.5546875,7100,4.345833302,5.125,30.32544327,443.8389282,13.60000038,-3.299999952,16.89999962,-0.533333361,6.199999809,10.16666698,-0.533333361,1145,108,74,14.7902813,317,227,263,317,NA,NA,NA,NA,0.800000012,6,6.400000095,5.400000095,6.099999905,29,217.3000031,31,9.8,NA,NA,NA,NA,NA,NA
90207,190.7109375,3100,3.791666746,5.099999905,29.65116119,451.0937805,13.30000019,-3.900000095,17.20000076,-1.049999952,8.366666794,9.75,-1.049999952,1169,115,72,17.5214386,339,224,252,339,NA,NA,NA,NA,0.800000012,6,6.099999905,5.900000095,5.900000095,29,216.5,26.9,7.1,vb,NA,NA,NA,NA,NA
90208,69.421875,8200,4.545833588,4.808333397,30.4324894,421.6604614,13,-2.799999952,15.80000019,0.183333352,8.733333588,10.05000019,-0.066666685,1381,136,87,16.51101303,398,268,297,396,NA,NA,NA,NA,0.800000012,8,8.600000381,5.400000095,5.800000191,27,223.8000031,28.4,10.9,NA,NA,NA,NA,NA,NA
90211,90.4375,8200,4.354166508,5.008333206,30.3535347,437.3393555,13.19999981,-3.299999952,16.5,-0.49999997,8.766666412,10.03333282,-0.49999997,1221,117,79,15.21446419,342,242,272,342,NA,NA,NA,NA,0.800000012,6,6.699999809,5.400000095,6.199999809,27,229.3999939,28.9,7.5,NA,NA,NA,NA,NA,NA
90212,311.0546875,1900,3.208333254,5.216666698,30.15414238,456.0145264,13,-4.300000191,17.29999924,-1.5,7.933333397,9.266666412,-1.583333373,1242,126,76,18.1176033,364,236,261,363,NA,NA,NA,NA,0.699999988,7,5.699999809,6.099999905,6.5,26,202.8999939,25.9,6.9,vb,NA,NA,NA,NA,NA
90213,103.953125,7100,4.216666698,5.166666508,30.75396729,444.6517334,13.30000019,-3.5,16.79999924,-0.383333385,6.099999905,10.01666641,-0.683333397,1178,114,75,16.06459236,335,231,260,334,NA,NA,NA,NA,0.800000012,7,6.300000191,5.400000095,6,26,199.5,31,7.4,vb,NA,NA,NA,NA,NA
90675,286.25,1800,1.716666698,8.833333015,26.21167183,906.9212036,19.79999924,-13.89999962,33.69999695,11.6833334,-4.516666889,13.26666641,-9.199999809,619,81,31,32.1456337,223,100,214,115,NA,NA,NA,NA,0.600000024,12,8.899999619,6.199999809,4.5,33,205.1999969,41.7,5.6,mt,Op,NA,NA,NA,NA
