plot_ID,species_richnnes,shannon_diversity,shannon_evenness
2001,18,0.005311374,0.055851417
2002,17,0.00537252,0.05914041
2003,16,0.005261023,0.06282968
2004,13,0.005377925,0.077337878
2005,17,0.005128513,0.059125982
2006,24,0.005422152,0.041893203
2007,23,0.005261814,0.043707638
2008,17,0.005194955,0.05912991
2009,19,0.005311888,0.052911896
2010,22,0.005258533,0.045694199
2011,37,0.005403795,0.027173471
2012,17,0.005155385,0.05912757
2013,18,0.005286933,0.055850052
2014,17,0.005246904,0.059132982
2015,27,0.005416144,0.037238179
2016,22,0.00534181,0.045698005
2017,33,0.00527012,0.030463152
2018,25,0.005545326,0.040222429
2019,27,0.005343491,0.037235474
2020,18,0.005382896,0.055855412
2021,20,0.005346825,0.050268057
2022,21,0.005385924,0.047876212
2023,23,0.005484951,0.043717392
2024,22,0.005395058,0.045700438
2025,22,0.005421037,0.045701625
2026,23,0.005467263,0.043716619
2027,17,0.00525439,0.059133425
2028,23,0.00537342,0.043712517
2029,25,0.005461974,0.040219077
2030,20,0.005499909,0.050275753
2031,22,0.005225623,0.045692695
2032,22,0.005222462,0.045692551
2033,22,0.005221779,0.04569252
2034,24,0.005385243,0.041891657
2035,23,0.00535913,0.043711892
2036,22,0.005224881,0.045692662
2037,18,0.005146811,0.055842227
2038,16,0.005249481,0.062828955
2039,15,0.00498481,0.066999817
2040,13,0.00506458,0.077313648
2041,11,0.005171377,0.091380434
2042,9,0.004910117,0.111658021
2043,12,0.005006465,0.083751585
2044,13,0.005136605,0.077319217
2045,13,0.00514809,0.077320105
2046,22,0.005340723,0.045697955
2047,18,0.00530579,0.055851105
2048,19,0.005226131,0.052907358
2049,19,0.005133291,0.052902447
2050,12,0.00470324,0.083726193
2051,21,0.005306967,0.047872432
2052,17,0.005342552,0.059138638
2053,22,0.005493278,0.045704927
2054,12,0.005237867,0.083770967
2055,15,0.005343565,0.067023858
2056,12,0.005331371,0.083778801
2057,11,0.004986401,0.091363532
2058,9,0.004922502,0.111659404
2059,9,0.004566441,0.111619654
2060,7,0.004619743,0.143518633
2061,14,0.00506547,0.071791309
2062,9,0.004989815,0.111666921
2063,6,0.004723062,0.167455706
2064,13,0.005288348,0.07733095
2065,5,0.004836575,0.200969658
2066,19,0.005340348,0.052913402
2067,12,0.005175659,0.083765756
2068,12,0.005139643,0.08376274
2069,16,0.005264476,0.062829897
2070,11,0.005201585,0.091383194
2071,17,0.005337779,0.059138356
2072,12,0.00522268,0.083769695
2073,16,0.005322468,0.062833541
2074,25,0.0055096,0.040220992
2075,18,0.005452971,0.055859326
2076,11,0.005108665,0.091374703
2077,6,0.004896008,0.167484669
2078,20,0.005370529,0.050269249
2079,16,0.005405538,0.062838761
2080,11,0.005171548,0.091380449
2081,10,0.004823884,0.100483554
2082,21,0.005470404,0.047880257
2083,27,0.005437944,0.037238991
2084,21,0.004982457,0.0478569
2086,22,0.004924706,0.045678948
2087,30,0.005199251,0.033507093
2092,22,0.005036107,0.045684037
2094,29,0.005121835,0.034659827
2095,35,0.005148774,0.028718916
2096,20,0.005153381,0.050258334
2097,34,0.005479786,0.029573377
2099,36,0.005340014,0.027926508
2100,38,0.005321286,0.026456197
2101,28,0.005236286,0.035901786
2102,26,0.005483188,0.03867301
2103,31,0.005369293,0.032431733
2104,23,0.005136363,0.043702156
2105,29,0.004717928,0.03464583
2106,30,0.005469127,0.033516137
2108,23,0.004813899,0.043688065
2109,34,0.005157643,0.029563852
2110,37,0.005332781,0.027171541
2112,16,0.004763782,0.062798447
2113,30,0.005503345,0.033517284
2114,22,0.005249824,0.045693801
2121,27,0.005174793,0.037229193
2122,13,0.00470685,0.077285996
2123,10,0.00433582,0.100434523
2124,20,0.00511485,0.050256398
2125,12,0.004645947,0.083721396
2126,37,0.005313957,0.02717103
2127,23,0.004854555,0.043689842
2128,36,0.00540172,0.027928232
2129,40,0.005352442,0.02513417
2130,18,0.004838902,0.055825035
2131,26,0.00497953,0.038653536
2132,40,0.005379469,0.025134849
2133,38,0.005214826,0.02645338
2134,25,0.005027551,0.040201608
2135,28,0.005291699,0.035903776
2136,28,0.004964809,0.035892041
2137,34,0.005249,0.029566553
2138,31,0.005176844,0.032425492
2139,11,0.004685149,0.091336013
2140,28,0.005139786,0.035898322
2141,39,0.00524688,0.025775915
2142,25,0.005083478,0.040203857
2143,32,0.004977327,0.031405929
2147,23,0.004684887,0.043682429
2148,29,0.004680766,0.034644543
2149,48,0.005587802,0.020950072
2150,27,0.004930437,0.037220097
2151,8,0.004842535,0.125606785
2152,7,0.004769141,0.143540076
2153,7,0.004751099,0.143537486
2154,6,0.004669496,0.167446736
2155,5,0.004715185,0.200945264
2156,6,0.004834801,0.167474418
2157,5,0.00475602,0.200953469
2158,6,0.004823235,0.167472481
2159,12,0.004780965,0.083732701
2160,12,0.005021349,0.083752831
2161,9,0.004841847,0.111650399
2162,7,0.004792999,0.143543501
2163,4,0.004550889,0.251140315
2164,6,0.004476077,0.167414352
2165,4,0.004509093,0.251129819
2166,4,0.004542518,0.251138213
2167,4,0.004576663,0.251146788
2168,5,0.004318984,0.200865665
2169,13,0.004489083,0.077269167
2170,11,0.004143488,0.091286553
2171,7,0.004388398,0.143485434
2172,18,0.004390472,0.055800007
2173,27,0.004753233,0.037213502
2174,22,0.004418313,0.045655822
2175,20,0.004274805,0.050214198
2176,18,0.004445367,0.05580307
2177,8,0.004527327,0.125567199
2178,20,0.004617135,0.050231391
2179,27,0.0050064,0.037222924
2180,32,0.005000804,0.031406667
2181,12,0.004602716,0.083717777
2182,35,0.004985402,0.028714224
2183,36,0.004641967,0.027907021
2184,19,0.004739056,0.052881595
2185,20,0.004503176,0.050225667
2186,20,0.004662859,0.050233687
2187,22,0.004576796,0.045663058
2188,9,0.004202608,0.11157905
2189,31,0.004694413,0.032409853
2190,12,0.004528064,0.083711528
2191,6,0.004345065,0.16739242
2192,7,0.004451299,0.14349446
2193,6,0.004204008,0.16736881
2194,3,0.004255159,0.334754742
2195,16,0.004526835,0.062783569
2196,20,0.004639003,0.050232489
2197,10,0.004427964,0.100443778
2198,22,0.004712829,0.045669271
2199,25,0.004474159,0.040179367
2200,18,0.004696454,0.055817083
2201,30,0.004713542,0.033490822
2202,21,0.005019336,0.047858664
2203,28,0.004692504,0.035882269
2204,31,0.004489333,0.032403207
2205,28,0.004637382,0.035880291
2206,15,0.004516222,0.066968429
2207,11,0.004246461,0.091295954
2208,10,0.004326494,0.100433587
2209,10,0.004575035,0.100458552
2210,9,0.004509635,0.111613313
2211,16,0.004405666,0.062775962
2212,28,0.004295407,0.035868023
2213,23,0.004736303,0.043684676
2214,27,0.004758366,0.037213693
2215,11,0.004155397,0.09128764
2216,8,0.00431132,0.125540078
2217,17,0.004739743,0.059103
2218,9,0.004398989,0.111600964
2219,10,0.004388943,0.100439859
2220,15,0.00461163,0.066974819
2221,40,0.005127033,0.025128505
2222,31,0.005127183,0.032423882
2223,38,0.005053215,0.026449105
2224,23,0.004583346,0.043677994
2225,12,0.00451755,0.083710647
2226,15,0.004400123,0.066960655
2227,27,0.00454567,0.037205778
2228,21,0.004497318,0.047833688
2229,28,0.004407759,0.035872053
2230,20,0.004782007,0.050239673
2231,14,0.004667844,0.071762768
2232,8,0.004187327,0.125524513
2233,2,0.00398829,0.501998127
2234,19,0.004892258,0.052889697
2235,9,0.004639425,0.1116278
2236,21,0.004775978,0.047847019
2237,20,0.004551603,0.050228099
2238,16,0.004694367,0.062794088
2239,7,0.0043094,0.1434741
2240,22,0.004520211,0.045660475
2241,13,0.004545195,0.077273503
2242,16,0.00447315,0.062780198
2243,9,0.004194421,0.111578137
2244,14,0.004616115,0.071759056
2245,14,0.004371891,0.071741533
2246,23,0.004791536,0.043687088
2247,17,0.004798226,0.059106456
2248,16,0.004731753,0.062796435
2249,11,0.004505353,0.091319592
2250,12,0.004239317,0.08368736
2251,11,0.004399975,0.09130997
2252,1,0.003870304,1.003877804
2253,9,0.004090371,0.111566528
2254,14,0.004543237,0.071753827
2255,20,0.004513677,0.050226194
2256,8,0.004658099,0.125583621
2257,16,0.004375764,0.062774084
2258,19,0.004613008,0.05287493
2259,4,0.004381576,0.251097797
2260,20,0.004024837,0.050201647
2261,10,0.004285102,0.10042943
2262,15,0.004707295,0.066981226
2263,12,0.004015529,0.083668633
2264,15,0.004675585,0.066979102
2265,22,0.004804508,0.045673458
2266,24,0.00440951,0.041850802
2267,27,0.004523021,0.037204936
2268,20,0.004265102,0.050213711
2269,22,0.004648181,0.045666318
2270,17,0.00478163,0.059105475
2271,18,0.004789481,0.055822276
2272,27,0.00429186,0.037196336
2273,16,0.003983279,0.062749451
2274,10,0.004302189,0.100431146
2275,9,0.003982304,0.111554472
2276,9,0.004137528,0.111571789
2277,24,0.004208708,0.041842399
2278,15,0.004534331,0.066969642
2279,12,0.004275688,0.083690403
2280,16,0.004510728,0.062782557
2281,16,0.004353751,0.062772703
